manufacturer,total_sales_thousands,average_sales_thousands,number_of_models
Ford,1846.96,184.7,10
Dodge,720.8,80.09,9
Toyota,675.09,84.39,8
Honda,592.67,118.53,5
Chevrolet,446.37,55.8,8
Pontiac,330.96,66.19,5
Jeep,293.15,97.72,3
Nissan,280.47,56.09,5
Buick,242.02,60.5,4
Mercury,238.0,39.67,6
Mitsubishi,180.9,25.84,7
Volkswagen,159.75,31.95,5
Hyundai,137.33,45.78,3
Chrysler,117.55,23.51,5
Saturn,110.39,36.8,3
Cadillac,81.45,27.15,3
Mercedes-B,66.08,16.52,4
Acura,64.89,21.63,3
Lincoln,62.71,31.35,2
Plymouth,62.13,20.71,3
Oldsmobile,60.18,15.04,4
Lexus,43.15,14.38,3
Audi,40.56,13.52,3
BMW,26.76,13.38,2
Infiniti,23.71,23.71,1
Porsche,12.13,4.04,3
