feature,coefficient,absolute_importance
manufacturer_Jeep,92.85592567892947,92.85592567892947
manufacturer_Lincoln,-86.72525317112323,86.72525317112323
manufacturer_Honda,86.65806572205301,86.65806572205301
manufacturer_Porsche,77.62210169486481,77.62210169486481
curb_weight,-75.69081423959862,75.69081423959862
manufacturer_Saturn,-62.68037933177881,62.68037933177881
manufacturer_Ford,55.88837510299703,55.88837510299703
manufacturer_Toyota,53.95798745429921,53.95798745429921
manufacturer_Oldsmobile,-50.67424102759838,50.67424102759838
engine_size,46.77507071582807,46.77507071582807
manufacturer_Plymouth,-43.22538794355158,43.22538794355158
manufacturer_BMW,-39.06455217384129,39.06455217384129
manufacturer_Dodge,-36.40387769322331,36.40387769322331
manufacturer_Mercury,-34.71685124529832,34.71685124529832
manufacturer_Nissan,27.647172036156153,27.647172036156153
manufacturer_Acura,-26.081042451440442,26.081042451440442
manufacturer_Volkswagen,22.222187065976343,22.222187065976343
manufacturer_Chrysler,-20.43436886015174,20.43436886015174
manufacturer_Pontiac,-18.145570648760227,18.145570648760227
manufacturer_Mercedes-B,-12.707701524468352,12.707701524468352
manufacturer_Buick,12.553296998300901,12.553296998300901
manufacturer_Chevrolet,10.212237550574986,10.212237550574986
power_perf_factor,9.54439897820948,9.54439897820948
manufacturer_Cadillac,-7.950773096713297,7.950773096713297
wheelbase,7.922835156722114,7.922835156722114
vehicle_type_Car,-7.8639214257811165,7.8639214257811165
vehicle_type_Passenger,7.86392142557229,7.86392142557229
manufacturer_Mitsubishi,7.221741626687392,7.221741626687392
manufacturer_Hyundai,-7.193228354677031,7.193228354677031
horsepower,-4.201514107176926,4.201514107176926
price_in_thousands,-2.998598719683227,2.998598719683227
manufacturer_Infiniti,2.9601578611368398,2.9601578611368398
manufacturer_Lexus,-1.9693022943899214,1.9693022943899214
manufacturer_Audi,-1.8267189743495649,1.8267189743495649
fuel_capacity,-1.2903945549468034,1.2903945549468034
fuel_efficiency,-0.6759492817810421,0.6759492817810421
width,-0.529238450604492,0.529238450604492
length,0.15496326317077516,0.15496326317077516
